model_name,fold,precision,recall,f1,fbeta
DecisionTreeClassifier,cv_fold_1,0.5307291666666667,0.8119521912350598,0.6418897637795276,0.6418897637795276
DecisionTreeClassifier,cv_fold_2,0.517455762792922,0.8621513944223107,0.6467423789599522,0.6467423789599522
DecisionTreeClassifier,cv_fold_3,0.5377643504531722,0.850996015936255,0.6590558469608145,0.6590558469608145
DecisionTreeClassifier,cv_fold_4,0.5045454545454545,0.8851674641148325,0.6427330631152287,0.6427330631152287
DecisionTreeClassifier,cv_fold_5,0.5243320610687023,0.8763955342902712,0.6561194029850747,0.6561194029850747
DecisionTreeClassifier,mean,0.5229653591053836,0.8573325199997459,0.6493080911601196,0.6493080911601196
DecisionTreeClassifier,std,0.011408797154304068,0.02553793140005215,0.007017950782637128,0.007017950782637128
RandomForestClassifier,cv_fold_1,0.7470817120622568,0.6119521912350597,0.6727989487516426,0.6727989487516426
RandomForestClassifier,cv_fold_2,0.759,0.6047808764940239,0.6731707317073171,0.6731707317073171
RandomForestClassifier,cv_fold_3,0.7527527527527528,0.599203187250996,0.6672582076308784,0.6672582076308784
RandomForestClassifier,cv_fold_4,0.7487684729064039,0.6060606060606061,0.6698986337593653,0.6698986337593653
RandomForestClassifier,cv_fold_5,0.7446601941747573,0.6116427432216905,0.6716287215411558,0.6716287215411558
RandomForestClassifier,mean,0.7504526263792342,0.6067279208524753,0.6709510486780718,0.6709510486780718
RandomForestClassifier,std,0.005021949506775827,0.004739333001377817,0.002170051617014468,0.002170051617014468
